provider_symbol,source_exchange,master_id,source_name,agrud_ticker,agrud_exchange_name,exchange_id,,security_type_id,provider_id
POR,NYSE,44699,CFRA,POR,NYSE,2,Coprorate Action Maintained,4,15
PPG,NYSE,44702,CFRA,PPG,NYSE,2,Coprorate Action Maintained,4,15
PPL,NYSE,44703,CFRA,PPL,NYSE,2,Coprorate Action Maintained,4,15
PRGO,NYSE,44712,CFRA,PRGO,NYSE,2,Coprorate Action Maintained,4,15
PRU,NYSE,44716,CFRA,PRU,NYSE,2,Coprorate Action Maintained,4,15
PSA,NYSE,44717,CFRA,PSA,NYSE,2,Coprorate Action Maintained,4,15
PSB,NYSE,44718,CFRA,PSB,NYSE,2,Coprorate Action Maintained,4,15
PSO,NYSE,44721,CFRA,PSO,NYSE,2,Coprorate Action Maintained,2,15
PSX,NYSE,44722,CFRA,PSX,NYSE,2,Coprorate Action Maintained,4,15
PTR,NYSE,44726,CFRA,PTR,NYSE,2,Coprorate Action Maintained,2,15
PVH,NYSE,44731,CFRA,PVH,NYSE,2,Coprorate Action Maintained,4,15
PWR,NYSE,44733,CFRA,PWR,NYSE,2,Coprorate Action Maintained,4,15
PXD,NYSE,44735,CFRA,PXD,NYSE,2,Coprorate Action Maintained,4,15
R,NYSE,44749,CFRA,R,NYSE,2,Coprorate Action Maintained,4,15
RAD,NYSE,44750,CFRA,RAD,NYSE,2,Coprorate Action Maintained,4,15
RCL,NYSE,44761,CFRA,RCL,NYSE,2,Coprorate Action Maintained,4,15
RE,NYSE,44766,CFRA,RE,NYSE,2,Coprorate Action Maintained,4,15
REG,NasdaqGS,44767,CFRA,REG,NASDAQ,1,Coprorate Action Maintained,4,15
RF,NYSE,44775,CFRA,RF,NYSE,2,Coprorate Action Maintained,4,15
RH,NYSE,44784,CFRA,RH,NYSE,2,Coprorate Action Maintained,4,15
RHI,NYSE,44785,CFRA,RHI,NYSE,2,Coprorate Action Maintained,4,15
RIG,NYSE,44789,CFRA,RIG,NYSE,2,Coprorate Action Maintained,4,15
RIO,NYSE,44791,CFRA,RIO,NYSE,2,Coprorate Action Maintained,2,15
RJF,NYSE,44794,CFRA,RJF,NYSE,2,Coprorate Action Maintained,4,15
RL,NYSE,44797,CFRA,RL,NYSE,2,Coprorate Action Maintained,4,15
RMD,NYSE,44805,CFRA,RMD,NYSE,2,Coprorate Action Maintained,4,15
RNG,NYSE,44811,CFRA,RNG,NYSE,2,Coprorate Action Maintained,4,15
RNR,NYSE,44814,CFRA,RNR,NYSE,2,Coprorate Action Maintained,4,15
ROK,NYSE,44816,CFRA,ROK,NYSE,2,Coprorate Action Maintained,4,15
ROL,NYSE,44817,CFRA,ROL,NYSE,2,Coprorate Action Maintained,4,15
ROP,NYSE,44818,CFRA,ROP,NYSE,2,Coprorate Action Maintained,4,15
RPM,NYSE,44821,CFRA,RPM,NYSE,2,Coprorate Action Maintained,4,15
