source_symbol,source_exchange,master_id
TEVA,NYSE,45061
TEX,NYSE,45062
TFX,NYSE,45063
TGT,NYSE,45069
THC,NYSE,45070
THO,NYSE,45072
THS,NYSE,45075
TJX,NYSE,45080
TM,NYSE,45091
TMHC,NYSE,45093
GL,NYSE,45094
TMO,NYSE,45095
TOL,NYSE,45103
TTE,NYSE,45105
TPX,NYSE,45113
TRGP,NYSE,45121
TRI,NYSE,45122
TRN,NYSE,45125
TRP,NYSE,45128
TRV,NYSE,45132
TSM,NYSE,45140
TSN,NYSE,45141
TTC,NYSE,45146
TU,NYSE,45151
TWTR,NYSE,45160
TXT,NYSE,45163
UAL,NasdaqGS,45170
UDR,NYSE,45177
UGI,NYSE,45181
UHS,NYSE,45183
UL,NYSE,45187
UNF,NYSE,45191
UNH,NYSE,45192
UNM,NYSE,45193
UNP,NYSE,45194
UPS,NYSE,45197
URI,NYSE,45198
USB,NYSE,45201
USM,NYSE,45204
V,NYSE,45213
VALE,NYSE,45216
VC,NasdaqGS,45219
VEEV,NYSE,45224
VFC,NYSE,45226
VIPS,NYSE,45232
VLO,NYSE,45236
VMC,NYSE,45241
VMW,NYSE,45245
VNO,NYSE,45247
VOYA,NYSE,45250
BHC,NYSE,45256
VTR,NYSE,45263
VZ,NYSE,45268
W,NYSE,45269
WAB,NYSE,45270
WAT,NYSE,45275
WBS,NYSE,45279
WCN,NYSE,45283
WDAY,NasdaqGS,45285
WEC,NYSE,45288
WFC,NYSE,45292
WGO,NYSE,45296
WHR,NYSE,45299
WIT,NYSE,45302
WLK,NYSE,45306
WM,NYSE,45310
WMB,NYSE,45311
WMT,NYSE,45316
WNS,NYSE,45320
WOR,NYSE,45321
WPP,NYSE,45324
WRB,NYSE,45329
WSM,NYSE,45333
WSO,NYSE,45334
WST,NYSE,45336
WTS,NYSE,45340
WU,NYSE,45342
WWE,NYSE,45345
WY,NYSE,45348
TNL,NYSE,45349
X,NYSE,45350
XEL,NasdaqGS,45353
XOM,NYSE,45359
XPO,NYSE,45362
XRX,NasdaqGS,45365
XYL,NYSE,45367
Y,NYSE,45368
YUM,NYSE,45373
ZBH,NYSE,45382
ZTS,NYSE,45388
DECK,NYSE,45392
ORCL,NYSE,45396
AAL,NasdaqGS,45402
AAPL,NasdaqGS,45406
ABMD,NasdaqGS,45419
ACGL,NasdaqGS,45428
ADBE,NasdaqGS,45447
ADI,NasdaqGS,45450
ADP,NasdaqGS,45455
ADSK,NasdaqGS,45460
ADTN,NasdaqGS,45461
AEIS,NasdaqGS,45468
AKAM,NasdaqGS,45499
ALGN,NasdaqGS,45507
ALGT,NasdaqGS,45508
ALKS,NasdaqGS,45510
ALNY,NasdaqGS,45513
AMAT,NasdaqGS,45522
AMBA,NasdaqGS,45523
AMCX,NasdaqGS,45528
AMGN,NasdaqGS,45531
